# name|moods|minutes|difficulty|description|image|ingredients-json|steps-json
清炖去皮鸡腿土豆|疲惫,平静,想家|38|简单|去皮鸡腿和土豆搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","土豆 250g","姜 8g","清水 500ml","盐 3g"]|["将去皮鸡腿切块，冷水下锅煮开后洗净浮沫。","把土豆切成大小一致的块。","锅中加入去皮鸡腿、姜和清水，小火炖20分钟。","放入土豆继续炖至软熟，加盐调味。"]
酱香焖去皮鸡腿土豆|期待,嘴馋,满足|35|普通|去皮鸡腿和土豆搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","土豆 250g","姜 8g","生抽 15ml","清水 250ml","食用油 8ml"]|["将去皮鸡腿切块并擦干表面，土豆切块备用。","锅中放油，把去皮鸡腿煎至表面微黄。","加入姜、生抽、土豆和清水，煮开后转小火。","加盖焖至全部熟透，开盖收浓汤汁。"]
清炖去皮鸡腿胡萝卜|疲惫,平静,想家|38|简单|去皮鸡腿和胡萝卜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","胡萝卜 180g","姜 8g","清水 500ml","盐 3g"]|["将去皮鸡腿切块，冷水下锅煮开后洗净浮沫。","把胡萝卜切成大小一致的块。","锅中加入去皮鸡腿、姜和清水，小火炖20分钟。","放入胡萝卜继续炖至软熟，加盐调味。"]
酱香焖去皮鸡腿胡萝卜|期待,嘴馋,满足|35|普通|去皮鸡腿和胡萝卜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","胡萝卜 180g","姜 8g","生抽 15ml","清水 250ml","食用油 8ml"]|["将去皮鸡腿切块并擦干表面，胡萝卜切块备用。","锅中放油，把去皮鸡腿煎至表面微黄。","加入姜、生抽、胡萝卜和清水，煮开后转小火。","加盖焖至全部熟透，开盖收浓汤汁。"]
清炖去皮鸡腿香菇|疲惫,平静,想家|38|简单|去皮鸡腿和香菇搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","香菇 180g","姜 8g","清水 500ml","盐 3g"]|["将去皮鸡腿切块，冷水下锅煮开后洗净浮沫。","把香菇切成大小一致的块。","锅中加入去皮鸡腿、姜和清水，小火炖20分钟。","放入香菇继续炖至软熟，加盐调味。"]
酱香焖去皮鸡腿香菇|期待,嘴馋,满足|35|普通|去皮鸡腿和香菇搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","香菇 180g","姜 8g","生抽 15ml","清水 250ml","食用油 8ml"]|["将去皮鸡腿切块并擦干表面，香菇切块备用。","锅中放油，把去皮鸡腿煎至表面微黄。","加入姜、生抽、香菇和清水，煮开后转小火。","加盖焖至全部熟透，开盖收浓汤汁。"]
清炖去皮鸡腿板栗仁|疲惫,平静,想家|38|简单|去皮鸡腿和板栗仁搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","板栗仁 150g","姜 8g","清水 500ml","盐 3g"]|["将去皮鸡腿切块，冷水下锅煮开后洗净浮沫。","把板栗仁切成大小一致的块。","锅中加入去皮鸡腿、姜和清水，小火炖20分钟。","放入板栗仁继续炖至软熟，加盐调味。"]
酱香焖去皮鸡腿板栗仁|期待,嘴馋,满足|35|普通|去皮鸡腿和板栗仁搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","板栗仁 150g","姜 8g","生抽 15ml","清水 250ml","食用油 8ml"]|["将去皮鸡腿切块并擦干表面，板栗仁切块备用。","锅中放油，把去皮鸡腿煎至表面微黄。","加入姜、生抽、板栗仁和清水，煮开后转小火。","加盖焖至全部熟透，开盖收浓汤汁。"]
清炖去皮鸡腿洋葱|疲惫,平静,想家|38|简单|去皮鸡腿和洋葱搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","洋葱 180g","姜 8g","清水 500ml","盐 3g"]|["将去皮鸡腿切块，冷水下锅煮开后洗净浮沫。","把洋葱切成大小一致的块。","锅中加入去皮鸡腿、姜和清水，小火炖20分钟。","放入洋葱继续炖至软熟，加盐调味。"]
酱香焖去皮鸡腿洋葱|期待,嘴馋,满足|35|普通|去皮鸡腿和洋葱搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["去皮鸡腿肉 300g","洋葱 180g","姜 8g","生抽 15ml","清水 250ml","食用油 8ml"]|["将去皮鸡腿切块并擦干表面，洋葱切块备用。","锅中放油，把去皮鸡腿煎至表面微黄。","加入姜、生抽、洋葱和清水，煮开后转小火。","加盖焖至全部熟透，开盖收浓汤汁。"]
清香快炒猪里脊青椒|平静,满足,疲惫|18|简单|猪里脊和青椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","青椒 180g","蒜 5g","食用油 10ml","盐 2g"]|["将猪里脊处理成薄片或小块，青椒洗净切好。","锅中放一半食用油，把猪里脊炒至完全熟透后盛出。","补入余油和蒜末，放青椒大火翻炒至断生。","倒回猪里脊，加盐翻匀后立即装盘。"]
黑椒小炒猪里脊青椒|开心,期待,嘴馋|22|简单|猪里脊和青椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","青椒 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将猪里脊切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把青椒洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将猪里脊炒至完全熟透。","加入青椒和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒猪里脊泡发木耳|平静,满足,疲惫|18|简单|猪里脊和泡发木耳搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","泡发木耳 150g","蒜 5g","食用油 10ml","盐 2g"]|["将猪里脊处理成薄片或小块，泡发木耳洗净切好。","锅中放一半食用油，把猪里脊炒至完全熟透后盛出。","补入余油和蒜末，放泡发木耳大火翻炒至断生。","倒回猪里脊，加盐翻匀后立即装盘。"]
黑椒小炒猪里脊泡发木耳|开心,期待,嘴馋|22|简单|猪里脊和泡发木耳搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","泡发木耳 150g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将猪里脊切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把泡发木耳洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将猪里脊炒至完全熟透。","加入泡发木耳和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒猪里脊芹菜|平静,满足,疲惫|18|简单|猪里脊和芹菜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","芹菜 200g","蒜 5g","食用油 10ml","盐 2g"]|["将猪里脊处理成薄片或小块，芹菜洗净切好。","锅中放一半食用油，把猪里脊炒至完全熟透后盛出。","补入余油和蒜末，放芹菜大火翻炒至断生。","倒回猪里脊，加盐翻匀后立即装盘。"]
黑椒小炒猪里脊芹菜|开心,期待,嘴馋|22|简单|猪里脊和芹菜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","芹菜 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将猪里脊切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把芹菜洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将猪里脊炒至完全熟透。","加入芹菜和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒猪里脊莴笋|平静,满足,疲惫|18|简单|猪里脊和莴笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","莴笋 220g","蒜 5g","食用油 10ml","盐 2g"]|["将猪里脊处理成薄片或小块，莴笋洗净切好。","锅中放一半食用油，把猪里脊炒至完全熟透后盛出。","补入余油和蒜末，放莴笋大火翻炒至断生。","倒回猪里脊，加盐翻匀后立即装盘。"]
黑椒小炒猪里脊莴笋|开心,期待,嘴馋|22|简单|猪里脊和莴笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","莴笋 220g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将猪里脊切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把莴笋洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将猪里脊炒至完全熟透。","加入莴笋和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒猪里脊黄豆芽|平静,满足,疲惫|18|简单|猪里脊和黄豆芽搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","黄豆芽 220g","蒜 5g","食用油 10ml","盐 2g"]|["将猪里脊处理成薄片或小块，黄豆芽洗净切好。","锅中放一半食用油，把猪里脊炒至完全熟透后盛出。","补入余油和蒜末，放黄豆芽大火翻炒至断生。","倒回猪里脊，加盐翻匀后立即装盘。"]
黑椒小炒猪里脊黄豆芽|开心,期待,嘴馋|22|简单|猪里脊和黄豆芽搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["猪里脊 250g","黄豆芽 220g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将猪里脊切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把黄豆芽洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将猪里脊炒至完全熟透。","加入黄豆芽和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒牛肉片洋葱|平静,满足,疲惫|18|简单|牛肉片和洋葱搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","洋葱 180g","蒜 5g","食用油 10ml","盐 2g"]|["将牛肉片处理成薄片或小块，洋葱洗净切好。","锅中放一半食用油，把牛肉片炒至完全熟透后盛出。","补入余油和蒜末，放洋葱大火翻炒至断生。","倒回牛肉片，加盐翻匀后立即装盘。"]
黑椒小炒牛肉片洋葱|开心,期待,嘴馋|22|简单|牛肉片和洋葱搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","洋葱 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将牛肉片切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把洋葱洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将牛肉片炒至完全熟透。","加入洋葱和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒牛肉片芥兰|平静,满足,疲惫|18|简单|牛肉片和芥兰搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","芥兰 220g","蒜 5g","食用油 10ml","盐 2g"]|["将牛肉片处理成薄片或小块，芥兰洗净切好。","锅中放一半食用油，把牛肉片炒至完全熟透后盛出。","补入余油和蒜末，放芥兰大火翻炒至断生。","倒回牛肉片，加盐翻匀后立即装盘。"]
黑椒小炒牛肉片芥兰|开心,期待,嘴馋|22|简单|牛肉片和芥兰搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","芥兰 220g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将牛肉片切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把芥兰洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将牛肉片炒至完全熟透。","加入芥兰和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒牛肉片彩椒|平静,满足,疲惫|18|简单|牛肉片和彩椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","彩椒 180g","蒜 5g","食用油 10ml","盐 2g"]|["将牛肉片处理成薄片或小块，彩椒洗净切好。","锅中放一半食用油，把牛肉片炒至完全熟透后盛出。","补入余油和蒜末，放彩椒大火翻炒至断生。","倒回牛肉片，加盐翻匀后立即装盘。"]
黑椒小炒牛肉片彩椒|开心,期待,嘴馋|22|简单|牛肉片和彩椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","彩椒 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将牛肉片切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把彩椒洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将牛肉片炒至完全熟透。","加入彩椒和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒牛肉片杏鲍菇|平静,满足,疲惫|18|简单|牛肉片和杏鲍菇搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","杏鲍菇 200g","蒜 5g","食用油 10ml","盐 2g"]|["将牛肉片处理成薄片或小块，杏鲍菇洗净切好。","锅中放一半食用油，把牛肉片炒至完全熟透后盛出。","补入余油和蒜末，放杏鲍菇大火翻炒至断生。","倒回牛肉片，加盐翻匀后立即装盘。"]
黑椒小炒牛肉片杏鲍菇|开心,期待,嘴馋|22|简单|牛肉片和杏鲍菇搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","杏鲍菇 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将牛肉片切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把杏鲍菇洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将牛肉片炒至完全熟透。","加入杏鲍菇和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒牛肉片西芹|平静,满足,疲惫|18|简单|牛肉片和西芹搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","西芹 200g","蒜 5g","食用油 10ml","盐 2g"]|["将牛肉片处理成薄片或小块，西芹洗净切好。","锅中放一半食用油，把牛肉片炒至完全熟透后盛出。","补入余油和蒜末，放西芹大火翻炒至断生。","倒回牛肉片，加盐翻匀后立即装盘。"]
黑椒小炒牛肉片西芹|开心,期待,嘴馋|22|简单|牛肉片和西芹搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["牛肉片 250g","西芹 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将牛肉片切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把西芹洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将牛肉片炒至完全熟透。","加入西芹和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒虾仁西兰花|平静,满足,疲惫|18|简单|虾仁和西兰花搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","西兰花 250g","蒜 5g","食用油 10ml","盐 2g"]|["将虾仁处理成薄片或小块，西兰花洗净切好。","锅中放一半食用油，把虾仁炒至完全熟透后盛出。","补入余油和蒜末，放西兰花大火翻炒至断生。","倒回虾仁，加盐翻匀后立即装盘。"]
黑椒小炒虾仁西兰花|开心,期待,嘴馋|22|简单|虾仁和西兰花搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","西兰花 250g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将虾仁切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把西兰花洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将虾仁炒至完全熟透。","加入西兰花和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒虾仁芦笋|平静,满足,疲惫|18|简单|虾仁和芦笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","芦笋 200g","蒜 5g","食用油 10ml","盐 2g"]|["将虾仁处理成薄片或小块，芦笋洗净切好。","锅中放一半食用油，把虾仁炒至完全熟透后盛出。","补入余油和蒜末，放芦笋大火翻炒至断生。","倒回虾仁，加盐翻匀后立即装盘。"]
黑椒小炒虾仁芦笋|开心,期待,嘴馋|22|简单|虾仁和芦笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","芦笋 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将虾仁切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把芦笋洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将虾仁炒至完全熟透。","加入芦笋和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒虾仁黄瓜|平静,满足,疲惫|18|简单|虾仁和黄瓜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","黄瓜 200g","蒜 5g","食用油 10ml","盐 2g"]|["将虾仁处理成薄片或小块，黄瓜洗净切好。","锅中放一半食用油，把虾仁炒至完全熟透后盛出。","补入余油和蒜末，放黄瓜大火翻炒至断生。","倒回虾仁，加盐翻匀后立即装盘。"]
黑椒小炒虾仁黄瓜|开心,期待,嘴馋|22|简单|虾仁和黄瓜搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","黄瓜 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将虾仁切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把黄瓜洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将虾仁炒至完全熟透。","加入黄瓜和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒虾仁玉米粒|平静,满足,疲惫|18|简单|虾仁和玉米粒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","玉米粒 180g","蒜 5g","食用油 10ml","盐 2g"]|["将虾仁处理成薄片或小块，玉米粒洗净切好。","锅中放一半食用油，把虾仁炒至完全熟透后盛出。","补入余油和蒜末，放玉米粒大火翻炒至断生。","倒回虾仁，加盐翻匀后立即装盘。"]
黑椒小炒虾仁玉米粒|开心,期待,嘴馋|22|简单|虾仁和玉米粒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","玉米粒 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将虾仁切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把玉米粒洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将虾仁炒至完全熟透。","加入玉米粒和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒虾仁荷兰豆|平静,满足,疲惫|18|简单|虾仁和荷兰豆搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","荷兰豆 180g","蒜 5g","食用油 10ml","盐 2g"]|["将虾仁处理成薄片或小块，荷兰豆洗净切好。","锅中放一半食用油，把虾仁炒至完全熟透后盛出。","补入余油和蒜末，放荷兰豆大火翻炒至断生。","倒回虾仁，加盐翻匀后立即装盘。"]
黑椒小炒虾仁荷兰豆|开心,期待,嘴馋|22|简单|虾仁和荷兰豆搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["虾仁 220g","荷兰豆 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将虾仁切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把荷兰豆洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将虾仁炒至完全熟透。","加入荷兰豆和蒜末大火翻炒2分钟，尝味后装盘。"]
清蒸鳕鱼块番茄|平静,满足,期待|20|简单|鳕鱼块和番茄搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鳕鱼块 300g","番茄 300g","姜 8g","蒸鱼豉油 12ml","食用油 5ml"]|["将鳕鱼块吸干水分，番茄切好铺在耐热盘底。","把鳕鱼块放在番茄上，表面放姜丝。","水开后入锅蒸8至12分钟，确认鱼肉完全变白。","取出倒掉多余水分，淋蒸鱼豉油和热油。"]
番茄煨鳕鱼块番茄|低落,疲惫,想家|28|简单|鳕鱼块和番茄搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鳕鱼块 300g","番茄 300g","番茄 200g","姜 8g","清水 300ml","盐 3g"]|["将鳕鱼块切块并擦干，番茄切成小块。","番茄切块入锅炒出汁，加入姜和清水煮开。","放入番茄煮5分钟，再轻轻放入鳕鱼块。","小火煨至鱼肉熟透，加盐后关火。"]
清蒸鳕鱼块嫩豆腐|平静,满足,期待|20|简单|鳕鱼块和嫩豆腐搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鳕鱼块 300g","嫩豆腐 250g","姜 8g","蒸鱼豉油 12ml","食用油 5ml"]|["将鳕鱼块吸干水分，嫩豆腐切好铺在耐热盘底。","把鳕鱼块放在嫩豆腐上，表面放姜丝。","水开后入锅蒸8至12分钟，确认鱼肉完全变白。","取出倒掉多余水分，淋蒸鱼豉油和热油。"]
番茄煨鳕鱼块嫩豆腐|低落,疲惫,想家|28|简单|鳕鱼块和嫩豆腐搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鳕鱼块 300g","嫩豆腐 250g","番茄 200g","姜 8g","清水 300ml","盐 3g"]|["将鳕鱼块切块并擦干，嫩豆腐切成小块。","番茄切块入锅炒出汁，加入姜和清水煮开。","放入嫩豆腐煮5分钟，再轻轻放入鳕鱼块。","小火煨至鱼肉熟透，加盐后关火。"]
清蒸鳕鱼块海鲜菇|平静,满足,期待|20|简单|鳕鱼块和海鲜菇搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鳕鱼块 300g","海鲜菇 180g","姜 8g","蒸鱼豉油 12ml","食用油 5ml"]|["将鳕鱼块吸干水分，海鲜菇切好铺在耐热盘底。","把鳕鱼块放在海鲜菇上，表面放姜丝。","水开后入锅蒸8至12分钟，确认鱼肉完全变白。","取出倒掉多余水分，淋蒸鱼豉油和热油。"]
